clause_id	doc	title	text	embedding
RF-01	환불 정책	환불 신청 기한	상품을 수령한 날로부터 14일 이내에 환불을 신청할 수 있습니다. 단순 변심의 경우에도 동일하게 적용됩니다.
RF-02	환불 정책	환불 처리 소요 기간	환불 승인 후 영업일 기준 3일 이내에 결제 수단으로 환급됩니다. 카드사 사정에 따라 카드 취소는 최대 영업일 기준 5일이 추가로 소요될 수 있습니다.
RF-03	환불 정책	무통장 입금 환불	무통장 입금으로 결제한 경우 고객이 등록한 환불 계좌로 영업일 기준 3일 이내 입금됩니다. 환불 계좌 정보가 없으면 처리가 보류되며, 고객센터로 계좌를 알려주셔야 진행됩니다.
RF-04	환불 정책	단순 변심 시 배송비 부담	단순 변심에 의한 환불은 왕복 배송비 6,000원을 고객이 부담합니다. 환불 금액에서 차감됩니다.
RF-05	환불 정책	상품 하자 시 배송비 부담	상품 불량, 오배송, 파손 등 판매자 귀책 사유인 경우 배송비는 전액 판매자가 부담합니다.
RF-06	환불 정책	부분 환불	여러 상품을 한 주문으로 구매한 경우 일부 상품만 환불할 수 있습니다. 단 부분 환불로 인해 무료배송 기준 금액(50,000원) 미만이 되면 배송비 3,000원이 차감됩니다.
RF-07	환불 정책	환불 불가 사유	다음의 경우 환불이 제한됩니다. (1) 고객의 사용 또는 소비로 상품 가치가 현저히 감소한 경우 (2) 포장을 훼손하여 재판매가 불가능한 경우 (3) 주문 제작 상품으로 제작이 시작된 경우 (4) 식품 등 신선도가 중요한 상품으로 수령 후 24시간이 지난 경우
RF-08	환불 정책	결제 취소와 환불의 구분	발송 전에는 주문 취소로 처리되어 즉시 결제가 취소됩니다. 발송 후에는 반품 절차를 거쳐 환불로 처리되므로 회수 완료 후 환급됩니다.
RF-09	환불 정책	회수 후 환불 처리	반품 상품이 물류센터에 도착한 날로부터 영업일 기준 2일 이내에 검수가 완료되고, 검수 통과 시 환불 처리 소요 기간에 따라 환급됩니다.
RF-10	환불 정책	적립금 사용분 환불	적립금을 사용한 주문을 환불하면 사용한 적립금은 적립금으로 복원됩니다. 현금으로 환급되지 않습니다.
RF-11	환불 정책	쿠폰 사용분 환불	할인 쿠폰을 사용한 주문을 환불하면 쿠폰은 복원되지 않습니다. 단 판매자 귀책 사유로 인한 환불인 경우 동일 조건의 쿠폰을 재발급합니다.
RF-12	환불 정책	환불 진행 상황 확인	마이페이지 > 주문내역 > 해당 주문 > 환불 진행 상황에서 단계별 상태를 확인할 수 있습니다.
RF-13	환불 정책	지연 시 문의	환불 신청 후 영업일 기준 7일이 지나도 처리되지 않은 경우 고객센터로 문의하시면 우선 처리해 드립니다.
DL-01	배송 정책	기본 배송 기간	결제 완료 후 영업일 기준 1~3일 이내 출고되며, 출고 후 1~2일 이내 수령하실 수 있습니다.
DL-02	배송 정책	배송비	주문 금액 50,000원 이상 무료배송, 미만인 경우 3,000원입니다.
DL-03	배송 정책	도서산간 추가 배송비	제주도는 3,000원, 그 외 도서산간 지역은 5,000원의 추가 배송비가 발생합니다.
DL-04	배송 정책	주문 마감 시각	평일 오후 2시 이전 결제 완료 건은 당일 출고를 원칙으로 합니다. 이후 주문은 다음 영업일에 출고됩니다.
DL-05	배송 정책	휴일 배송	토요일, 일요일, 공휴일은 출고 및 배송이 이루어지지 않습니다.
DL-06	배송 정책	배송 조회	출고 시 등록하신 연락처로 운송장 번호가 발송됩니다. 마이페이지 > 주문내역에서도 확인할 수 있습니다.
